GameID,Genres
10,Action
220,Action
240,Action
440,"Action,Free to Play"
500,Action
550,Action
570,"Action,Free to Play,Strategy"
620,"Action,Adventure"
730,"Action,Free to Play"
1840,"Animation & Modeling,Video Production"
3590,Strategy
3900,Strategy
3910,Strategy
4000,"Indie,Simulation"
4700,Strategy
4760,Strategy
8500,"Action,Free to Play,Massively Multiplayer,RPG,Strategy"
8800,Strategy
8930,Strategy
9420,Strategy
9450,Strategy
9900,"Free to Play,Massively Multiplayer,RPG"
10500,Strategy
12210,"Action,Adventure"
16900,"Action,Indie,Simulation,Early Access"
17390,"God Game,Open World,Exploration,Sandbox,Colony Sim,Casual,Cute,Simulation,Space,Science,Funny,Sci-fi,Aliens,Colorful,Cartoony,Adventure,Family Friendly,Comedy,Resource Management,Cartoon"
20900,"Action,RPG"
20920,RPG
21690,"Action,Adventure"
22330,RPG
22370,RPG
22380,"Action,RPG"
24010,Simulation
32470,Strategy
34030,Strategy
34330,Strategy
39210,"Massively Multiplayer,RPG"
40970,"Simulation,Strategy"
42700,Action
42960,Strategy
47810,RPG
47890,Simulation
48700,"Action,RPG"
49520,"Action,RPG"
72850,RPG
105450,"Simulation,Strategy"
105600,"Action,Adventure,Indie,RPG"
107410,"Action,Simulation,Strategy"
108600,"Indie,RPG,Simulation,Early Access"
109600,"Action,Adventure,Free to Play,Massively Multiplayer,RPG"
200210,"Action,Free to Play,Indie,Massively Multiplayer,RPG"
200510,Strategy
203160,"Action,Adventure"
203770,"Free to Play,RPG,Simulation,Strategy"
208650,"Action,Adventure"
211820,"Action,Adventure,Casual,Indie,RPG"
212500,"Action,Adventure,Free to Play,Massively Multiplayer,RPG"
212680,"Indie,Simulation,Strategy"
214950,Strategy
216150,"Action,Adventure,Casual,Free to Play,Massively Multiplayer,RPG"
218230,"Action,Free to Play,Massively Multiplayer"
218620,"Action,RPG"
219740,"Adventure,Indie,Simulation"
219990,"Action,Adventure,Indie,RPG"
220200,"Indie,Simulation"
221040,"Action,Adventure"
221100,"Action,Adventure,Massively Multiplayer"
221380,Strategy
221680,"Casual,Simulation"
223750,"Free to Play,Simulation"
225540,"Action,Adventure"
227300,"Indie,Simulation"
227940,"Action,Free to Play,Indie,Massively Multiplayer,Strategy"
228200,"Action,Strategy"
228280,"Adventure,RPG"
228380,"Action,Indie,Racing,Simulation,Sports"
230410,"Action,Free to Play,RPG"
231430,Strategy
232090,Action
233450,"Indie,Simulation,Strategy"
233860,"Action,Indie,RPG,Simulation,Strategy"
234140,"Action,Adventure"
235460,Action
236390,"Action,Free to Play,Massively Multiplayer,Simulation"
236850,"Simulation,Strategy"
238960,"Action,Adventure,Free to Play,Indie,Massively Multiplayer,RPG"
239140,"Action,RPG"
242760,"Action,Adventure,Indie,Simulation"
242920,"Indie,Simulation,Strategy"
244210,"Indie,Racing,Simulation,Sports"
244450,"Action,Simulation,Strategy"
244850,"Action,Indie,Simulation,Strategy"
250900,Action
251060,"Indie,Simulation,Strategy"
251570,"Action,Adventure,Indie,RPG,Simulation,Strategy,Early Access"
252490,"Action,Adventure,Indie,Massively Multiplayer,RPG"
252530,"Casual,Simulation"
252950,"Action,Indie,Racing,Sports"
253710,"Action,Adventure,Free to Play,Simulation,Sports"
254700,"Action,Adventure"
255710,"Simulation,Strategy"
257350,"Adventure,RPG"
261550,"Action,RPG,Simulation,Strategy,Early Access"
262060,"Indie,RPG,Strategy"
264710,"Adventure,Indie"
266840,"Simulation,Strategy"
268500,Strategy
268850,Utilities
268910,"Action,Indie"
269210,"Action,Adventure,Indie,Massively Multiplayer,RPG"
269950,Simulation
270880,"Indie,Simulation"
271590,"Action,Adventure"
273110,"Action,Casual,Free to Play,Massively Multiplayer"
275850,"Action,Adventure"
281990,"Simulation,Strategy"
284160,"Racing,Simulation,Early Access"
284950,"Casual,Indie,Simulation"
285900,"Action,Adventure,Casual,Indie,Simulation"
286160,"Casual,Indie,RPG,Simulation,Strategy"
287450,"Simulation,Strategy"
287700,"Action,Adventure"
289070,Strategy
289650,"Action,Adventure"
291480,"Action,Adventure,Free to Play,Massively Multiplayer,RPG,Simulation,Strategy"
291550,"Action,Free to Play,Indie"
291650,RPG
292030,RPG
294100,"Indie,Simulation,Strategy"
297000,"RPG,Strategy"
304050,"Action,Adventure,Casual,Free to Play,Massively Multiplayer,RPG"
304390,Action
304930,"Action,Adventure,Casual,Free to Play,Indie"
305620,"Adventure,Indie,Simulation,Strategy"
306130,"Action,Adventure,Massively Multiplayer,RPG"
310950,Action
311210,"Action,Adventure"
311260,"RPG,Simulation,Strategy"
311690,"Action,Adventure,Indie"
312660,"Action,Adventure"
314160,Simulation
315210,Action
322170,"Action,Indie"
322330,"Adventure,Indie,Simulation"
323190,"Simulation,Strategy"
325610,Strategy
326460,"Action,Casual,Indie,Massively Multiplayer,Strategy"
330020,"Action,Adventure,Indie,RPG"
331470,"Adventure,Casual,Free to Play,Indie"
333420,"Action,Adventure,Strategy"
