Developer_ID,Developers
1,10 Chambers
2,1047 Games
3,Dead Mage
4,11 bit studios
5,1939 Games
6,1-reality
7,Visual Concepts
8,HB Studios Multimedia Ltd.
9,Hangar 13
10,"Gearbox Software,Blind Squirrel Games"
11,Gearbox Software
12,Firaxis Games
13,Supermassive Games
14,"Hangar 13,Aspyr (Mac)"
15,"Gearbox Software,Aspyr (Mac),Aspyr (Linux)"
16,"Firaxis Games,Aspyr (Mac),Aspyr (Linux)"
17,"Firaxis Games,Feral Interactive (Linux)"
18,"Firaxis Games,Feral Interactive (Mac),Feral Interactive (Linux)"
19,3Division
20,4G
21,The Bearded Ladies
22,Remedy Entertainment
23,Rabbit & Bear Studios
24,Kunos Simulazioni
25,KOJIMA PRODUCTIONS
26,INGAME STUDIOS
27,Unstable Games
28,7th Beat Games
29,Creobit
30,91Act
31,"Treyarch,Raven Software,High Moon Studios,Beenox,Activision Shanghai,Sledgehammer Games"
32,Treyarch
33,"Sledgehammer Games,Raven Software"
34,"Infinity Ward,Raven Software,Beenox,Treyarch,High Moon Studios,Sledgehammer Games,Activision Shanghai,Demonware,Toys for Bob"
35,"Infinity Ward,Beenox,High Moon Studios,Raven Software"
36,FromSoftware
37,"Treyarch,Aspyr (Mac)"
38,Acureus
39,PeDePe GbR
40,MR-Software GbR
41,Afterthought LLC
42,Alawar
43,Alawar Premium
44,UnknownX
45,AlphaSoft LLC
46,Altered Orbit Studios
47,Smilegate RPG
48,Amazon Games
49,Amistech Games
50,"FRAME BREAK,Amplifier Studios"
51,Anegar Games
52,"TYPE-MOON,Lasengle Inc.,Hunex"
53,AniYa Games Studio
54,BlueTwelve Studio
55,Angel Matrix
56,AnukenDev
57,Abstraction Games
58,"FRENCH-BREAD,Arc System Works"
59,Arc System Works
60,Flaming Fowl Studios
61,"Aspyr,Crystal Dynamics"
62,Aspyr
63,weltenbauer. Software Entwicklung GmbH
64,Atelier 801
65,AutoAttack Games
66,Questline
67,Redbeet Interactive
68,Axolot Games
69,"Azerion,YoudaGames"
70,Bad Pixel
71,Soleil Ltd.
72,"QLOC,DIMPS"
73,Koei Tecmo
74,Dimps Corporation
75,CyberConnect2 Co. Ltd.
76,Bandai Namco Studios Inc.
77,BANDAI NAMCO Studios Inc.
78,ARTDINK
79,"ILCA, Inc."
80,"HYDE, Inc."
81,"CRAFTS ï¼?MEISTER Co., Ltd"
82,Byking Inc.
83,"FromSoftware, Inc"
84,PandaUpStudio
85,Dimension Travler
86,Beamdog
87,BeamNG
88,Bear in the Night
89,Beat Games
90,Beautiful Glitch
91,Psyop
92,Behaviour Interactive Inc.
93,Berserk Games
94,BetaDwarf
95,ZeniMax Online Studios
96,Tango Gameworks
97,Obsidian Entertainment
98,id Software
99,Bethesda Game Studios
100,Arkane Austin
101,Billy Basso
102,Wave Game
103,HuanMos Game
104,GY Games
105,BINGOBELL
106,BlackMark Studio
107,"M2H,BlackMill Games"
108,Blender Foundation
109,"Blizzard Entertainment, Inc."
110,Blobfish
111,Bohemia Interactive
112,Bohemia Incubator
113,Bone Nail
114,"Boneloaf,Coatsink"
115,Boxelware
116,Brace Yourself Games
117,Bungie
118,"FURYU Corporation,LANCARSE Ltd."
119,Capcom
120,"CAPCOM Co., Ltd."
121,"CarX Technologies, LLC"
122,Cassel Games
123,CCP
124,CD PROJEKT RED
125,Cellar Door Games
126,CenterPoint Gaming
127,"Deadpan Games,Gaziter"
128,Chucklefish
129,Underdog Studio
130,HEXWORKS
131,Nihon Falcom
132,Codemasters
133,Codename Entertainment Inc.
134,Lavapotion
135,Iron Gate AB
136,Ghost Ship Games
137,Coffee Stain Studios
138,Coffee Stain North
139,Computer Lunch
140,ConcernedApe
141,Crate Entertainment
142,Creaky Corpse Ltd
143,AKEL
144,Creepy Jar
145,Barance Studio
146,Mike Klubnika
147,Crowbar Collective
148,Crytek
149,VEOM Studio
150,Square Glade Games
151,Soda Den
152,Prideful Sloth
153,Curtis English
154,No Brakes Games
155,IronOak Games
156,"Cygames, Inc.,Arc System Works"
157,"Cygames, Inc."
158,SANDLOT
159,D3PUBLISHER
160,"FakeFish,Undertow Games"
161,Core Engage
162,Rogue Planet Games
163,DDNet Team
164,"Wild Shadow Studios,Deca Games"
165,Matthias Linda
166,Starbreeze Studios
167,Dambuster Studios
168,"Gotcha Gotcha Games,KADOKAWA,Yoji Ojima"
169,DenchiSoft
170,Terrible Toybox
171,Massive Monster
172,Free Lives
173,Dodge Roll
174,Daniel Mullins Games
175,Croteam
176,Die of Death Games
177,YYZ
178,Dread Hunger Team
179,Digital Extremes
180,Airship Syndicate
181,"Barbedwire Studios,Digitalmindsoft"
182,Dorado Games
183,Triskell Interactive
184,Double Dagger Studio
185,Dovetail Games
186,Dragonrise Games
187,Drakeling Labs
188,MANGLEDmaw Games
189,DarkStone Digital
190,Dry Cactus
191,TUTGame
192,Duoyi Games
193,Egosoft
194,Tiburon
195,The Sims Studio
196,Respawn Entertainment
197,Respawn
198,"Petroglyph,Lemon Sky Studios"
199,Motive
200,Maxis
201,"KOEI TECMO GAMES CO., LTD."
202,Hazelight
203,Ghost Games
204,EA Canada & EA Romania
205,EA Canada
206,DICE
207,Criterion Games
208,BioWare
209,Eleon Game Studios
210,Eleventh Hour Games
211,EmadePlus
212,Ember Lab
213,Endnight Games Ltd
214,Envision Entertainment
215,HAMMER95
216,ZUIJIANGYUE Game
217,Eugen Systems
218,Euphoric Brothers
219,EVGA
220,EXOR Studios
221,Expansive Worlds
222,"Expansive Worlds,Avalanche Studios"
223,Facepunch Studios
224,Faerin Games
225,Fancy Games
226,Far From Home
227,Fatshark
228,Fire Hose Games
229,Fire Sword Studios
230,FireFly Studios
231,Pugstorm
232,Piranha Games Inc.
233,ColePowered Games
234,Abbey Games
235,Fishing Planet LLC
236,"FishSoft, LLC"
237,flanne
238,Flashbulb
239,Two Horizons
240,Tindalos Interactive
241,Saber Interactive
242,New World Interactive
243,Flying Wild Hog
244,Blackbird Interactive
245,Auroch Digital
246,Asobo Studio
247,Mundfish
248,Unwound Games
249,Dancing Dragon Games
250,Frictional Games
251,FromSoftware Inc.
252,QLOC
253,"FromSoftware, Inc."
254,Frontier Developments
255,"Frontier Developments,Aspyr (Mac)"
256,Petroglyph
257,Haemimont Games
258,Ancient Forge Studio
259,"Frozen District,Empyrean"
260,Empyrean
261,Digitalmindsoft
262,Best Way
263,The Outsiders
264,Funcom
265,Quite OK Games
266,Gaddy Games
267,Targem Games
268,Gaijin Entertainment
269,Three Whales Studio
270,Game Science
271,Game Smithing Limited
272,Game-Labs
273,Gameloft
274,Gamepires
275,Youthcat Studio
276,Stove Studio
277,MeowNature
278,GSQ Games
279,Games Incubator
280,Games Of Tomorrow GmbH
281,Jutsu Games
282,gamigo US Inc.
283,Dynamight Studios
284,Sicarius
285,Hopoo Games
286,Gunfire Games
287,Cryptic Studios
288,Geometa
289,Funday Games
290,Giants Software
291,GIANTS Software
292,Giraffe Lab LLC
293,Gleamer Studio
294,Glyph Worlds
295,Urban Games
296,Shiny Shoe
297,"LEAP Game Studios,Tiny Ghoul"
298,Ice Code Games
299,"Grapeshot Games,Instinct Games"
300,Grinding Gear Games
301,GrizzlyGames
302,GSC Game World
303,Sumo Digital
304,peropero
305,Hello Games
306,Ramen Cat Studio
307,Hinterland Studio Inc.
308,Red Beard Games
309,Holotech Studios Inc.
310,Holyday Studios
311,Slavic Magic
312,Pavonis Interactive
313,MinMax Games Ltd.
314,Long Jaunt
315,Goldhawk Interactive
316,Eremite Games
317,Hotloop
318,Hovgaard Games
319,Stairway Games
320,Crema
321,Humble North
322,Hunter Studio
323,Hyper Hippo Games
324,HypeTrain Digital
325,Gravity Lagoon
326,BEHEMUTT
327,David Capello
328,IGG SINGAPORE PTE. LTD.
329,"IllFonic,Teravision Games"
330,Illwinter Game Design
331,"IMCGAMES Co.,Ltd."
332,Inceton games
333,Vambear Games
334,Leven Liu
335,LiLith
336,Inflexion Games
337,Innersloth
338,intiny
339,inXile Entertainment
340,IO Interactive A/S
341,Huard Ouadi
342,Ironhide Game Studio
343,Ishtar Games
344,Ivy Sly
345,Jagex Ltd
346,Games by Malcs
347,James Bendon
348,Jaspel
349,Jordy Lakiere
350,"Kabam Games, Inc."
351,Inusuku
352,Nimble Neuron
353,Realmforge Studios
354,Limbic Entertainment
355,Gaming Minds Studios
356,Bulwark Studios
357,kChamp Games
358,Keen Games GmbH
359,Keen Software House
360,Ironwood Studios
361,Ebb Software
362,Kiki Games
363,Kinetic Games
364,Bay 12 Games
365,Kitka Games
366,KLab Inc.
367,Klei Entertainment
368,PlatinumGames
369,Konami Digital Entertainment
370,Divine Games
371,KOTAKE CREATE
372,Striking Distance Studios
373,"KRAFTON, Inc."
374,Laminar Research
375,Landfall
376,"Skog,Zorro,Wilnyl,Philip,thePetHen"
377,Larian Studios
378,Lavaflame2
379,League of Geeks
380,Leppsoft
381,Team Ranger
382,"Lion Games Co., Ltd."
383,Lo-Fi Games
384,Ludeon Studios
385,Lukas Rustemeyer
386,"MADFINGER Games, a.s."
387,MaFi Games
388,Mainframe Industries
389,Majic Jungle
390,Hanabi Fuusen
391,Fantasize Games
392,Connection
393,"ARTcelerator,PantyParrot"
394,Marvelous Inc.
395,Maticolotto
396,"Extremely OK Games, Ltd."
397,Maxim Karpenko
398,Mechanistry
399,Mega Cat Studios
400,Mega Crit Games
401,Melancholia Studio
402,Merge Games
403,Meta Interaction
404,Owlcat Games
405,BlackFoot Studios
406,Bird's Eye Games
407,Miju Games
408,Milestone S.r.l.
409,Milkstone Studios
410,Mimimi Games
411,MINTROCKET
412,Misc Games
413,MOB Games
414,Mobile Technologies LLC
415,CABO Studio
416,Pixile
417,Aurogon Shanghai
418,Monomi Park
419,Mooncube Games
420,Motion Twin
421,Mountain&Sea Studio
422,"Move Games Co., Ltd."
423,Byterunners
424,MY.GAMES
425,Booming Tech
426,MyDockFinder
427,FNTASTIC
428,Spiders
429,Simteract
430,Passtech Games
431,Eko Software
432,Cyanide Studio
433,Brave Lamb Studio S.A.
434,Narko Games
435,ArenaNet  
436,"Arc System Works,EIGHTING Co., Ltd.,NEOPLE Inc."
437,SouthPAW Games
438,NEOWIZ
439,NetEase Games
440,24 Entertainment
441,"Trey Powell,Jason Bond"
442,Nexon Korea Corporation
443,Nexon
444,"Valve Corporation, Nexon Korea Corporation"
445,"Nicalis, Inc.,Edmund McMillen"
446,KAGAMI â?WORKs
447,Ninja Kiwi
448,NLT Media
449,Noisestorm Limited
450,Nokta Games
451,Nolla Games
452,Northwood Studios
453,NPC Studio
454,"Noah System,Mgame"
455,Excellent Rectangle
456,Numantian Games
457,"Ocean Drive Studio, Inc."
458,Offworld Industries
459,Omeda Studios
460,OMEGAMES STUDIO
461,"OMOCAT, LLC"
462,Oppai-Man
463,Out of the Park Developments
464,Overhype Studios
465,Digital Reef Games
466,OVRAS Team
467,Pablo Leban
468,"Elias Viglione,Jussi Kukkonen"
469,Rocket Flair Studios
470,Kodo Linija
471,Game River
472,Triumph Studios
473,"Paradox Development Studio,Paradox Tinto"
474,Paradox Development Studio
475,Harebrained Schemes
